Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 12,C1CCC[C@H]2C(=CCC=C2)OCC1,C12H18O,178.27,13,0,0.67,0,1,0,55.71,9.23,2.76,3.58,3.43,2.77,2.78,3.06,-3.20,1.12e-01,6.30e-04,Soluble,-3.46,6.18e-02,3.47e-04,Soluble,-2.00,1.76e+00,9.89e-03,Soluble,High,Yes,No,No,No,Yes,No,No,-4.85,0,0,0,0,2,0.55,0,1,2,4.33
Molecule 13,O[C@H]1CC[C@H]([C@@H](C1)O)O[C@@H]1CCC[C@H]2[C@H]3[C@H]1CC1=CC=C[C@H](C1=C3NC2)C,C23H33NO3,371.51,27,0,0.74,2,3,3,110.81,61.72,3.23,2.61,2.69,2.65,1.91,2.62,-3.66,8.21e-02,2.21e-04,Soluble,-3.56,1.03e-01,2.78e-04,Soluble,-2.37,1.60e+00,4.30e-03,Soluble,High,Yes,Yes,No,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,0,1,5.96
Molecule 14,OCc1cccc2c1[C@H](O)CC2,C10H12O2,164.20,12,6,0.40,1,2,2,46.36,40.46,1.53,0.58,0.68,1.17,2.01,1.19,-1.53,4.87e+00,2.97e-02,Very soluble,-1.00,1.63e+01,9.94e-02,Very soluble,-2.24,9.41e-01,5.73e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.89,0,0,0,0,1,0.55,0,0,1,2.15
Molecule 15,OCCC[C@H](CCCC(=O)O)CO,C9H18O4,190.24,13,0,0.89,8,4,3,49.47,77.76,1.47,0.04,0.62,0.55,0.97,0.73,-0.52,5.79e+01,3.04e-01,Very soluble,-1.23,1.13e+01,5.95e-02,Very soluble,-0.99,1.96e+01,1.03e-01,Soluble,High,No,No,No,No,No,No,No,-7.43,0,0,0,0,1,0.56,0,0,2,2.28
Molecule 16,C[C@@H]1CC[C@H]2CC[C@]1(O)CCC2,C11H20O,168.28,12,0,1.00,0,1,1,51.96,20.23,2.41,2.89,2.73,2.74,2.58,2.67,-2.70,3.33e-01,1.98e-03,Soluble,-2.97,1.78e-01,1.06e-03,Soluble,-1.99,1.73e+00,1.03e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.27,0,0,0,0,2,0.55,0,0,1,3.32
Molecule 17,CC[C@@H]1[C@H](O)[C@@H](O)CC[C@]1(C)O,C9H18O3,174.24,12,0,1.00,1,3,3,46.79,60.69,1.65,0.20,0.28,0.34,0.47,0.59,-0.98,1.82e+01,1.05e-01,Very soluble,-1.03,1.61e+01,9.26e-02,Very soluble,-0.29,8.83e+01,5.07e-01,Soluble,High,No,No,No,No,No,No,No,-7.22,0,0,0,0,1,0.55,0,0,1,3.57
Molecule 18,NC(=O)COc1cccc2c1C(=O)OCCO[C@H](C1=NCC=C[C@@H]21)C(=O)O,C18H18N2O7,374.34,27,6,0.33,4,8,2,95.71,137.51,1.05,0.36,-0.10,-0.32,1.04,0.41,-2.29,1.93e+00,5.15e-03,Soluble,-2.81,5.76e-01,1.54e-03,Soluble,-2.42,1.42e+00,3.80e-03,Soluble,High,No,No,No,No,No,No,No,-8.33,0,0,0,1,0,0.56,0,1,1,4.86
Molecule 19,OCC[C@H]1N=CCN([C@H]1CO)C,C8H16N2O2,172.22,12,0,0.88,3,4,2,54.60,56.06,1.70,-1.43,-1.65,-0.98,0.30,-0.41,0.19,2.67e+02,1.55e+00,Highly soluble,0.76,9.81e+02,5.69e+00,Highly soluble,-0.13,1.29e+02,7.48e-01,Soluble,High,No,No,No,No,No,No,No,-8.37,0,1,0,0,1,0.55,0,0,1,3.82
Molecule 20,O[C@@H]1CCC[C@H]2[C@@H]1CCC2,C9H16O,140.22,10,0,1.00,0,1,1,42.31,20.23,2.18,2.37,1.95,2.15,1.92,2.11,-2.20,8.80e-01,6.27e-03,Soluble,-2.44,5.15e-01,3.67e-03,Soluble,-1.08,1.16e+01,8.26e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.47,0,1,0,0,2,0.55,0,0,1,2.62
Molecule 21,N[C@@H]1C=CC2=C3C1=CCCC[C@H]3CC2,C13H17N,187.28,14,0,0.54,0,1,1,59.55,26.02,2.50,1.69,2.70,2.94,2.18,2.40,-2.07,1.61e+00,8.59e-03,Soluble,-1.85,2.64e+00,1.41e-02,Very soluble,-1.92,2.25e+00,1.20e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.24,0,0,0,0,2,0.55,0,0,1,4.59
Molecule 22,OC(=O)[C@@H]([C@@H]1OCCc2c1cccc2)C,C12H14O3,206.24,15,6,0.42,2,3,1,56.34,46.53,1.44,1.71,1.70,1.59,2.18,1.72,-2.36,9.00e-01,4.37e-03,Soluble,-2.30,1.03e+00,4.98e-03,Soluble,-2.55,5.77e-01,2.80e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.34,0,0,0,0,0,0.85,0,0,1,3.16
Molecule 23,CC[C@H]1CCC[C@]([C@@H](C1)O)(C)O,C10H20O2,172.26,12,0,1.00,1,2,2,50.43,40.46,2.14,1.90,1.70,1.52,1.65,1.78,-2.04,1.57e+00,9.14e-03,Soluble,-2.37,7.31e-01,4.24e-03,Soluble,-1.38,7.21e+00,4.19e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.00,0,0,0,0,1,0.55,0,0,1,2.79
Molecule 24,F[C@H]1CCC[C@@H]2[C@@H](C1)[C@@H](C)CCC[C@H]2C,C14H25F,212.35,15,0,1.00,0,1,0,65.23,0.00,3.06,5.52,5.01,4.76,3.63,4.39,-4.63,4.93e-03,2.32e-05,Moderately soluble,-5.28,1.12e-03,5.26e-06,Moderately soluble,-3.12,1.60e-01,7.55e-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.68,1,0,0,0,2,0.55,0,0,2,3.68
Molecule 25,CC[C@@H]1[C@@H](CC)CCCN[C@@H]1C,C11H23N,169.31,12,0,1.00,2,1,1,59.59,12.03,2.93,3.20,2.43,2.74,2.56,2.77,-2.77,2.85e-01,1.68e-03,Soluble,-3.12,1.27e-01,7.51e-04,Soluble,-2.87,2.27e-01,1.34e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.06,0,0,0,0,2,0.55,0,0,1,2.47
Molecule 26,OCC[C@H](CCc1cccc(c1)N)O,C11H17NO2,195.26,14,6,0.45,5,2,3,57.36,66.48,1.62,0.91,0.95,1.24,1.57,1.26,-1.61,4.78e+00,2.45e-02,Very soluble,-1.89,2.51e+00,1.28e-02,Very soluble,-2.56,5.38e-01,2.75e-03,Soluble,High,No,No,No,No,No,No,No,-6.84,0,0,0,0,1,0.55,0,1,1,1.95
Molecule 27,N1Cc2c(C1)cccc2,C8H9N,119.16,9,6,0.25,0,1,1,40.98,12.03,1.66,0.86,0.61,1.48,2.30,1.38,-1.61,2.90e+00,2.43e-02,Very soluble,-0.70,2.40e+01,2.01e-01,Very soluble,-2.95,1.34e-01,1.12e-03,Soluble,Low,No,No,No,No,No,No,No,-6.42,0,2,0,0,2,0.55,0,0,1,1.00
Molecule 28,C[C@@H]1CC[C@@H]2[C@@H]1C(=O)CC[C@H]1[C@H]2CCCC1,C15H24O,220.35,16,0,0.93,0,1,0,68.08,17.07,2.84,4.43,3.82,3.67,3.33,3.62,-4.00,2.22e-02,1.01e-04,Soluble,-4.51,6.86e-03,3.11e-05,Moderately soluble,-2.90,2.80e-01,1.27e-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.50,0,0,0,0,1,0.55,0,0,2,3.45
Molecule 29,O=C(NCC1=CCCCC1)CCC[C@H](C1CCOCC1)C,C18H31NO2,293.44,21,0,0.83,8,2,1,88.02,38.33,3.58,3.35,3.84,2.89,4.24,3.58,-3.24,1.68e-01,5.73e-04,Soluble,-3.83,4.32e-02,1.47e-04,Soluble,-4.24,1.68e-02,5.71e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-5.71,0,0,0,0,0,0.55,0,1,1,3.60
Molecule 30,C[C@H](C1=CCC=C(C1)F)[C@@H](CO)C,C11H17FO,184.25,13,0,0.64,3,2,1,53.14,20.23,2.49,2.24,3.24,2.63,2.79,2.68,-2.20,1.17e+00,6.37e-03,Soluble,-2.30,9.22e-01,5.01e-03,Soluble,-2.03,1.72e+00,9.33e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.83,0,0,0,0,2,0.55,0,1,1,3.81
Molecule 31,C[C@@H]1CC(=O)C2=C(N1C1CCCCC1)CCC2,C15H23NO,233.35,17,0,0.80,1,1,0,74.41,20.31,2.91,3.02,3.04,2.63,3.09,2.94,-3.12,1.76e-01,7.53e-04,Soluble,-3.11,1.80e-01,7.73e-04,Soluble,-2.89,2.98e-01,1.28e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.58,0,0,0,0,0,0.55,0,0,1,3.98
Molecule 32,C[C@H]1CCCCC2=C1CCC=C2,C12H18,162.27,12,0,0.67,0,0,0,54.62,0.00,2.78,3.52,3.84,3.84,3.36,3.47,-3.06,1.40e-01,8.64e-04,Soluble,-3.20,1.01e-01,6.25e-04,Soluble,-2.58,4.24e-01,2.61e-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.79,0,0,0,0,2,0.55,0,0,2,4.30
Molecule 33,C[C@@H]1C[C@@H]2CC[C@@]1(C)[C@H]1C[C@@H]3CCO[C@@H]4[C@@H]3C(=CCC4)C[C@@H]1C2,C22H34O,314.50,23,0,0.91,0,1,0,97.65,9.23,3.87,5.89,5.60,5.30,4.33,5.00,-5.50,9.93e-04,3.16e-06,Moderately soluble,-5.86,4.37e-04,1.39e-06,Moderately soluble,-4.05,2.82e-02,8.95e-05,Moderately soluble,Low,No,No,Yes,Yes,Yes,No,No,-4.04,1,1,0,0,2,0.55,0,1,1,5.87
Molecule 34,OC[C@]1(C)O[C@@H]([C@@]2([C@H]1OCC[C@H]2O)O)O,C9H16O6,220.22,15,0,1.00,1,6,4,48.04,99.38,0.58,-2.47,-2.03,-1.75,-0.88,-1.31,0.42,5.75e+02,2.61e+00,Highly soluble,0.92,1.85e+03,8.41e+00,Highly soluble,0.91,1.81e+03,8.20e+00,Soluble,High,No,Yes,No,No,No,No,No,-9.40,0,1,0,0,1,0.55,0,0,1,4.39
Molecule 35,C1C[C@H]2N(C1)C1=C(CC2)CCC1,C11H17N,163.26,12,0,0.82,0,0,0,54.99,3.24,2.50,2.07,2.30,2.59,2.47,2.39,-2.16,1.14e+00,6.98e-03,Soluble,-1.77,2.79e+00,1.71e-02,Very soluble,-1.99,1.66e+00,1.01e-02,Soluble,High,Yes,Yes,No,No,No,No,No,-5.83,0,0,0,0,2,0.55,0,0,1,3.63
Molecule 36,CC[C@@H]1CNC2=C1CC=CC2C,C11H17N,163.26,12,0,0.64,1,0,1,56.53,12.03,2.51,2.47,2.09,2.49,2.27,2.36,-2.34,7.42e-01,4.55e-03,Soluble,-2.37,7.01e-01,4.30e-03,Soluble,-2.36,7.13e-01,4.37e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.54,0,0,0,0,2,0.55,0,1,1,4.07
Molecule 37,C1=C[C@H](N=CC1)N1CCCN1,C8H13N3,151.21,11,0,0.62,1,3,1,56.41,27.63,1.88,0.20,-0.59,1.39,0.95,0.77,-0.84,2.20e+01,1.45e-01,Very soluble,-0.34,6.93e+01,4.58e-01,Very soluble,-0.58,3.94e+01,2.61e-01,Soluble,Low,No,No,No,No,No,No,No,-7.08,0,2,0,0,1,0.55,0,1,1,4.19
Molecule 38,NCC1C=C[C@H](C(=C1)C)CN([C@@H]1CCNC1=N)C,C14H24N4,248.37,18,0,0.64,4,3,3,80.15,65.14,2.27,0.37,0.58,1.36,0.69,1.06,-1.35,1.11e+01,4.48e-02,Very soluble,-1.30,1.24e+01,4.98e-02,Very soluble,-1.90,3.13e+00,1.26e-02,Soluble,High,No,Yes,No,No,No,No,No,-7.55,0,0,0,0,0,0.55,0,2,1,4.37
Molecule 39,Oc1cc2ccccc2cc1F,C10H7FO,162.16,12,10,0.00,0,2,1,45.93,20.23,1.86,2.70,3.10,2.96,2.91,2.71,-3.16,1.11e-01,6.87e-04,Soluble,-2.78,2.70e-01,1.67e-03,Soluble,-3.77,2.78e-02,1.71e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.37,0,1,0,0,2,0.55,0,0,1,1.07
Molecule 40,OC[C@@H]([C@@H](O)C)O,C4H10O3,106.12,7,0,1.00,2,3,3,24.83,60.69,0.74,-1.33,-1.28,-1.06,-0.82,-0.75,0.47,3.15e+02,2.96e+00,Highly soluble,0.55,3.80e+02,3.58e+00,Highly soluble,1.02,1.12e+03,1.06e+01,Soluble,High,No,No,No,No,No,No,No,-7.89,0,4,0,0,2,0.55,0,0,1,1.97
Molecule 41,O=C1CNC[C@@H]2c3c1cccc3NC2,C11H12N2O,188.23,14,6,0.36,0,2,2,61.14,41.13,1.35,0.88,0.03,0.76,1.90,0.98,-1.88,2.49e+00,1.32e-02,Very soluble,-1.33,8.84e+00,4.70e-02,Very soluble,-3.54,5.40e-02,2.87e-04,Soluble,High,No,Yes,Yes,No,No,No,No,-6.82,0,0,0,0,1,0.55,0,0,1,2.43
Molecule 42,O=C1CC2=C(N1)C(=C[C@@H]1C2[C@@H](C)[C@H]2C[C@@H](C1)C[C@@H]([C@@H]2O)O)C,C18H25NO3,303.40,22,0,0.72,0,3,3,88.48,69.56,2.44,0.66,1.36,1.94,1.31,1.54,-2.14,2.21e+00,7.30e-03,Soluble,-1.70,6.10e+00,2.01e-02,Very soluble,-1.98,3.20e+00,1.05e-02,Soluble,High,Yes,Yes,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,0,0,6.07
Molecule 43,NCN(C1CCCC1)C,C7H16N2,128.22,9,0,1.00,2,2,1,39.25,29.26,1.60,0.69,0.78,0.97,0.35,0.88,-0.94,1.48e+01,1.15e-01,Very soluble,-0.88,1.68e+01,1.31e-01,Very soluble,-0.77,2.19e+01,1.71e-01,Soluble,High,Yes,No,No,No,No,No,No,-6.59,0,2,0,0,1,0.55,0,1,1,1.27
Molecule 44,O=C1CCC[C@@H]2[C@H](C1)C[C@@H](C2)N(C(=O)NC1CCC1)[C@H]1CC[C@@H](C1)C,C21H34N2O2,346.51,25,0,0.90,5,2,1,101.09,49.41,3.85,3.59,4.28,3.53,2.75,3.60,-3.92,4.17e-02,1.20e-04,Soluble,-4.31,1.68e-02,4.85e-05,Moderately soluble,-3.35,1.56e-01,4.51e-04,Soluble,High,Yes,No,No,No,Yes,No,No,-5.86,0,0,0,0,0,0.55,0,0,1,4.14
Molecule 45,C[C@@H]1CC(=O)N=CC1,C6H9NO,111.14,8,0,0.67,0,2,0,36.05,29.43,1.22,0.02,0.63,0.77,1.93,0.91,-0.54,3.19e+01,2.87e-01,Very soluble,-0.19,7.18e+01,6.46e-01,Very soluble,-1.07,9.55e+00,8.59e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.96,0,3,0,0,1,0.55,0,0,1,3.00
Molecule 46,CC[C@H]1C[C@H](O)C[C@@H]2N1O[C@@H]1CC[C@H]3C1[C@H](C2)C1=NC=CCC1=N3,C19H27N3O2,329.44,24,0,0.79,1,5,1,105.48,57.42,3.18,1.38,1.36,1.75,2.00,1.93,-2.69,6.79e-01,2.06e-03,Soluble,-2.19,2.13e+00,6.47e-03,Soluble,-1.84,4.75e+00,1.44e-02,Soluble,High,Yes,Yes,No,No,No,No,No,-7.33,0,0,0,0,0,0.55,0,0,0,5.75
Molecule 47,O[C@@H]1CC=C2[C@@H](C1)[C@H]1C[C@]3(C[C@]2(C)C[C@@H]1CO3)O,C15H22O3,250.33,18,0,0.87,0,3,2,68.48,49.69,2.14,1.12,1.84,2.27,1.80,1.83,-2.10,2.00e+00,7.99e-03,Soluble,-1.76,4.38e+00,1.75e-02,Very soluble,-1.55,7.10e+00,2.84e-02,Soluble,High,Yes,Yes,No,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,0,5.20
Molecule 48,N1CN2CCc3c2c(C1)ccc3,C10H12N2,160.22,12,6,0.40,0,1,1,56.00,15.27,1.88,1.32,0.20,1.85,1.89,1.43,-2.03,1.48e+00,9.23e-03,Soluble,-1.24,9.18e+00,5.73e-02,Very soluble,-2.88,2.14e-01,1.33e-03,Soluble,Low,No,Yes,No,No,No,No,No,-6.34,0,0,0,0,1,0.55,0,0,1,2.10
Molecule 49,CCN1CCC[C@H]2[C@H]1CCCC2,C11H21N,167.29,12,0,1.00,1,1,0,57.57,3.24,2.82,2.83,2.28,2.74,2.35,2.60,-2.59,4.26e-01,2.55e-03,Soluble,-2.56,4.65e-01,2.78e-03,Soluble,-2.04,1.54e+00,9.18e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.31,0,0,0,0,2,0.55,0,0,1,2.20
Molecule 50,NNC(=N)c1ccccc1,C7H9N3,135.17,10,6,0.00,2,2,3,40.51,61.90,0.90,0.28,0.48,1.53,0.33,0.70,-1.17,9.21e+00,6.82e-02,Very soluble,-1.14,9.75e+00,7.22e-02,Very soluble,-2.15,9.55e-01,7.06e-03,Soluble,High,No,No,No,No,No,No,No,-6.93,0,2,0,0,1,0.55,0,3,1,1.20
Molecule 51,CCC[C@@]1(O)CCCN[C@@]21CCC1=CCC[C@H](C[C@@H]1[C@@H]2O)CO,C19H33NO3,323.47,23,0,0.89,3,4,4,96.91,72.72,3.14,1.18,1.75,1.97,2.33,2.07,-2.39,1.31e+00,4.07e-03,Soluble,-2.30,1.61e+00,4.98e-03,Soluble,-2.99,3.33e-01,1.03e-03,Soluble,High,Yes,Yes,No,No,No,No,No,-7.44,0,0,0,0,0,0.55,0,1,0,5.14
Molecule 52,CN1CCN2[C@@H](C1)C[C@@H](N2)C,C8H17N3,155.24,11,0,1.00,0,3,1,56.68,18.51,2.17,0.47,-1.24,0.83,-0.18,0.41,-1.10,1.24e+01,7.97e-02,Very soluble,-0.43,5.80e+01,3.74e-01,Very soluble,-0.56,4.25e+01,2.74e-01,Soluble,Low,No,No,No,No,No,No,No,-6.91,0,2,0,0,1,0.55,0,0,1,3.43
Molecule 53,C1CC[C@]23C(=C1)CC[C@H](C2)C3,C11H16,148.24,11,0,0.82,0,0,0,47.91,0.00,2.61,3.50,3.29,4.58,3.34,3.46,-2.96,1.61e-01,1.09e-03,Soluble,-3.18,9.72e-02,6.56e-04,Soluble,-2.42,5.69e-01,3.84e-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-4.72,1,1,0,0,2,0.55,0,1,1,4.66
Molecule 54,NCCN1CC=CNC1=C1CCCCN1,C11H20N4,208.30,15,0,0.64,2,1,3,72.77,53.32,2.02,0.62,-0.84,0.24,0.31,0.47,-1.39,8.48e+00,4.07e-02,Very soluble,-1.31,1.01e+01,4.85e-02,Very soluble,-1.78,3.49e+00,1.67e-02,Soluble,High,No,Yes,No,No,No,No,No,-7.13,0,1,0,0,0,0.55,0,0,1,3.60
Molecule 55,NC1=CNC=C2[C@H]1CCCC2,C9H14N2,150.22,11,0,0.56,0,0,2,49.63,38.05,1.64,1.06,1.08,0.97,0.97,1.14,-1.44,5.46e+00,3.64e-02,Very soluble,-1.45,5.33e+00,3.55e-02,Very soluble,-1.32,7.14e+00,4.75e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.46,0,1,0,0,1,0.55,0,0,1,3.46
Molecule 56,C1CC[C@@]23[C@@H](C1)C[C@H](C3)CCC2,C12H20,164.29,12,0,1.00,0,0,0,53.20,0.00,2.79,5.05,3.76,5.00,3.58,4.04,-4.04,1.50e-02,9.12e-05,Moderately soluble,-4.79,2.65e-03,1.62e-05,Moderately soluble,-2.73,3.09e-01,1.88e-03,Soluble,Low,Yes,No,No,No,Yes,No,No,-3.72,1,0,0,0,3,0.55,0,0,2,4.03
Molecule 57,NC[C@@H]1N=C2N[C@H]3C(=CCC[C@H]3C)[C@@H]2[C@H]2[C@@H]1C(=O)CC2,C16H23N3O,273.37,20,0,0.75,1,3,2,86.73,67.48,2.26,-0.44,0.50,1.87,1.76,1.19,-1.19,1.76e+01,6.43e-02,Very soluble,-0.51,8.42e+01,3.08e-01,Very soluble,-2.53,8.01e-01,2.93e-03,Soluble,High,No,Yes,No,No,No,No,No,-8.28,0,0,0,0,0,0.55,0,1,0,5.13
Molecule 58,N=c1[nH][nH]c2c1C=CCC2,C7H9N3,135.17,10,5,0.29,0,1,3,39.42,55.43,0.97,0.92,0.67,0.83,2.29,1.13,-1.63,3.19e+00,2.36e-02,Very soluble,-1.67,2.89e+00,2.14e-02,Very soluble,-1.90,1.72e+00,1.27e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.47,0,3,0,0,1,0.55,0,0,1,2.73
