Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 11,CNC[C@H]1C[C@H](CN1C(=O)N(CC[C@@H](OCC(=O)NC)C)CCC[C@H](C(=N)N)C)C(=O)NC,C22H43N7O4,469.62,33,0,0.82,18,6,5,132.24,152.88,2.63,-1.00,-0.42,-0.35,0.44,0.26,-0.93,5.47e+01,1.17e-01,Very soluble,-1.72,8.87e+00,1.89e-02,Very soluble,-3.40,1.87e-01,3.99e-04,Soluble,Low,No,Yes,No,No,No,No,No,-9.87,1,3,2,1,2,0.55,0,2,2,5.15
Molecule 12,COCOCC1=C(NCC[C@@H](C(C)C)C)CC(=C(CC(=S)N(C)C)COC)C1,C22H40N2O3S,412.63,28,0,0.77,14,3,1,121.55,75.05,4.36,2.89,4.15,2.01,5.51,3.78,-3.30,2.09e-01,5.07e-04,Soluble,-4.13,3.09e-02,7.48e-05,Moderately soluble,-5.18,2.75e-03,6.65e-06,Moderately soluble,High,Yes,Yes,No,Yes,No,Yes,No,-6.77,0,0,1,0,0,0.55,0,3,2,5.30
Molecule 13,OC(=O)[C@@H]1CCN(C1)CC1=CC(=N[C@H]2C=NC(=CC2N2CCC2=O)C)C=CC1,C21H26N4O3,382.46,28,0,0.52,5,6,1,119.47,85.57,2.84,-2.59,0.54,1.43,2.02,0.85,-0.25,2.15e+02,5.63e-01,Very soluble,1.34,8.36e+03,2.19e+01,Highly soluble,-1.73,7.15e+00,1.87e-02,Soluble,High,No,No,No,No,No,No,No,-10.47,0,0,0,0,1,0.55,0,1,1,5.37
Molecule 14,CCOC[C@H](CC[C@@H]1C[C@@H](CC1=CC[C@H](C(=O)O)O)OC(C)C)CC=C(CNC(=O)C)OC,C25H43NO7,469.61,33,0,0.76,17,7,3,128.42,114.32,3.86,2.15,3.44,0.97,4.22,2.93,-2.98,4.87e-01,1.04e-03,Soluble,-4.18,3.08e-02,6.56e-05,Moderately soluble,-3.72,8.99e-02,1.91e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.64,0,1,1,0,1,0.56,0,2,2,5.48
Molecule 15,OCCOC(=O)[C@@H]([C@@H]1[C@@H](O)[C@H](O)CN2C1=N[C@@H](CC(=O)N)C(=C2)C1=C[C@@H]([C@H](N(C1)OCCC(C)C)C)C)O,C26H42N4O8,538.63,38,0,0.73,12,10,5,150.36,178.38,3.12,-1.41,-1.82,-0.35,-0.19,-0.13,-1.50,1.71e+01,3.17e-02,Very soluble,-1.83,7.89e+00,1.47e-02,Very soluble,-0.48,1.79e+02,3.33e-01,Soluble,Low,No,No,No,No,No,No,No,-10.59,2,4,2,1,1,0.17,0,0,2,7.02
Molecule 16,OOCC[C@H]1[C@@H](O)C[C@@H](C[C@@H]([C@H]1CCC[C@H]1O[C@H]2C[C@@H]([C@@H]2CC1CN(CO)O)CO)C)OCO,C24H45NO9,491.62,34,0,1.00,13,10,6,124.24,152.31,3.01,1.01,1.44,0.87,-0.21,1.22,-2.67,1.06e+00,2.16e-03,Soluble,-3.80,7.83e-02,1.59e-04,Soluble,-0.43,1.83e+02,3.72e-01,Soluble,Low,No,No,No,No,No,No,No,-8.58,1,2,2,1,2,0.55,0,3,2,6.44
Molecule 17,NC[C@@H]([C@H]1NC(C[C@H]1C1N=C[C@@H]2c3c1ccnc3CN2C(=O)C(=O)O)CN(C)C)O,C20H28N6O4,416.47,30,6,0.60,7,9,4,119.75,144.38,1.84,-4.58,-3.04,-1.82,-0.66,-1.65,0.78,2.49e+03,5.99e+00,Highly soluble,2.17,6.15e+04,1.48e+02,Highly soluble,-1.55,1.17e+01,2.81e-02,Soluble,Low,No,No,No,No,No,No,No,-12.09,0,1,1,1,1,0.55,0,1,1,5.10
Molecule 18,OCC(=CC1C=CC(C=C1)C)Nc1cc(cc(c1)[C@H]1NNc2c1c(C)c(cc2)Cl)N1CC(C1)C,C28H33ClN4O,477.04,34,12,0.36,6,2,4,152.74,59.56,4.42,6.12,3.94,4.43,4.03,4.59,-6.52,1.45e-04,3.03e-07,Poorly soluble,-7.15,3.36e-05,7.04e-08,Poorly soluble,-6.86,6.57e-05,1.38e-07,Poorly soluble,High,Yes,Yes,No,No,Yes,No,Yes,-4.86,1,1,0,0,1,0.55,0,1,2,5.35
Molecule 19,OCC[C@H](c1ccccc1)CCN[C@H]([C@@H](NC(=O)O)C=Cc1cc(CO)ccc1C)C#N,C25H31N3O4,437.53,32,12,0.36,13,6,5,124.05,125.61,3.23,0.16,2.91,1.75,3.84,2.38,-2.07,3.70e+00,8.45e-03,Soluble,-2.36,1.93e+00,4.42e-03,Soluble,-5.86,6.01e-04,1.37e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-8.86,0,0,1,0,0,0.55,0,0,2,4.71
Molecule 20,O=C(C[C@@H]1NC(=O)[C@]1(ONCc1cncc(c1)C)c1ccccc1)NC=NCC(=O)C,C22H25N5O4,423.47,31,12,0.32,11,7,3,117.38,121.78,2.36,0.96,0.29,1.07,2.86,1.51,-2.63,9.91e-01,2.34e-03,Soluble,-3.10,3.33e-01,7.86e-04,Soluble,-6.79,6.79e-05,1.60e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-8.20,0,0,1,0,0,0.55,0,3,2,4.39
Molecule 21,O[C@H]1CC=C2[C@H](C1)[C@@H](N[C@@H](CN1CCC(N1)C)CNC(=O)C)[C@H]1COC(=C1C([C@H](O2)CC(=O)O)(O)O)C,C25H40N4O8,524.61,37,0,0.76,9,11,7,139.68,172.85,2.58,-4.28,-1.58,-0.88,-1.06,-1.04,0.20,8.27e+02,1.58e+00,Highly soluble,1.26,9.55e+03,1.82e+01,Highly soluble,-1.43,1.94e+01,3.71e-02,Soluble,Low,No,No,No,No,No,No,No,-12.54,3,4,1,1,4,0.17,0,1,2,6.37
Molecule 22,CC[C@H]1CCN2[C@@H](C1)[C@H](O)CO[C@H]2[C@@H]1C=CC(=C(C2=CCC=CC2)O)C=C1O,C23H31NO4,385.50,28,0,0.57,3,5,3,114.05,73.16,3.25,3.26,3.53,2.05,1.29,2.68,-4.09,3.16e-02,8.21e-05,Moderately soluble,-4.47,1.30e-02,3.38e-05,Moderately soluble,-0.95,4.29e+01,1.11e-01,Soluble,High,Yes,Yes,No,No,Yes,No,No,-6.34,0,0,0,0,0,0.55,0,2,1,5.80
Molecule 23,CCCCCOCCC[C@H]([C@H]1OC(=O)C[C@@](C)(F)CC[C@@H](C[C@@H](C/C=C/[C@H](C1O)CC(=O)OCN)CC(=O)O)O)[C@H]1CCC[C@H](C1)[C@@H](C(O)(O)O)O,C37H64FNO13,749.90,52,0,0.86,18,15,8,190.50,246.53,3.20,0.06,3.25,1.21,2.56,2.06,-3.34,3.43e-01,4.58e-04,Soluble,-4.79,1.21e-02,1.62e-05,Moderately soluble,-2.71,1.48e+00,1.97e-03,Soluble,Low,No,No,No,No,No,No,No,-10.83,3,3,2,1,5,0.17,0,3,2,8.58
Molecule 24,COCC(=O)N(CC(CC(=N)[C@@H](C(=CC([C@H](CC(O)O)C)CC[C@H]1CCCO1)N)O)C)CC,C24H45N3O6,471.63,33,0,0.83,17,7,5,129.94,149.33,3.53,0.80,1.64,-0.33,2.85,1.70,-2.15,3.37e+00,7.14e-03,Soluble,-3.52,1.43e-01,3.04e-04,Soluble,-2.10,3.73e+00,7.91e-03,Soluble,Low,No,Yes,No,No,No,No,No,-8.61,0,1,2,1,1,0.55,0,2,2,5.51
Molecule 25,OC(=O)C[C@H]1Nc2c([C@@H]1CCc1ccc(cc1)NC(=O)O)[nH]c(=N)cc2,C18H20N4O4,356.38,26,12,0.28,7,5,6,99.36,138.30,1.28,0.97,1.81,1.19,1.78,1.41,-2.54,1.03e+00,2.88e-03,Soluble,-3.46,1.23e-01,3.45e-04,Soluble,-4.71,7.03e-03,1.97e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.79,1,0,0,1,1,0.56,0,0,1,3.60
Molecule 26,NCCC[C@H](COCC(C(=O)NC)NCC[C@H](C(C)C)C=CC(NC(=O)C)C=NCN)CC,C24H48N6O3,468.68,33,0,0.79,21,7,5,136.00,143.86,3.54,0.52,1.18,0.78,3.68,1.94,-1.69,9.63e+00,2.05e-02,Very soluble,-3.11,3.62e-01,7.73e-04,Soluble,-4.82,7.14e-03,1.52e-05,Moderately soluble,Low,No,Yes,No,No,No,No,No,-8.79,0,2,2,1,1,0.55,0,2,2,5.88
Molecule 27,OCC[C@@H]1N=C(C[C@H]1CNC1=NCC[C@H](C1)C)CC[C@H](CCO)O,C18H33N3O3,339.47,24,0,0.89,10,5,4,104.72,97.44,2.73,-0.95,0.38,0.80,3.43,1.28,-0.69,6.99e+01,2.06e-01,Very soluble,-0.61,8.30e+01,2.45e-01,Very soluble,-3.32,1.64e-01,4.83e-04,Soluble,High,No,Yes,No,No,No,No,No,-9.05,0,0,0,0,0,0.55,0,0,1,5.24
Molecule 28,OCC[C@@H](CC(C1=C(C=CC[C@H](NC(=N)NC)CCCN=CC)CC(C1)O)O)O,C21H38N4O4,410.55,29,0,0.71,15,6,7,117.53,141.19,2.51,-1.05,0.86,0.12,2.93,1.07,-0.73,7.58e+01,1.85e-01,Very soluble,-1.43,1.54e+01,3.74e-02,Very soluble,-2.75,7.23e-01,1.76e-03,Soluble,High,No,Yes,No,No,No,No,No,-9.55,1,0,2,1,1,0.55,0,2,2,5.69
Molecule 29,OC(=O)O[C@H](C[C@@H]1C[C@@H]2CCC[C@H](N2C(=O)C1C)C1=N[C@H](CC1)C)CCN1C=C(C)NCC1=O,C25H38N4O5,474.59,34,0,0.76,8,6,2,144.35,111.54,3.49,2.33,1.63,0.92,2.10,2.09,-3.72,8.99e-02,1.90e-04,Soluble,-4.31,2.32e-02,4.88e-05,Moderately soluble,-3.12,3.62e-01,7.62e-04,Soluble,High,No,Yes,No,No,No,No,No,-7.54,0,2,0,0,0,0.56,0,0,2,6.04
Molecule 30,CC[C@@H](C1CCCC1)C[C@@H]1C=CC(C(=N1)CC1CCCC1)[C@H]([C@H](O)C)CCNC(=O)C,C27H46N2O2,430.67,31,0,0.85,12,3,2,136.26,61.69,4.30,6.21,5.31,3.88,6.23,5.19,-5.63,1.01e-03,2.34e-06,Moderately soluble,-7.29,2.20e-05,5.12e-08,Poorly soluble,-5.34,1.98e-03,4.59e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-4.52,0,2,1,0,1,0.55,0,1,3,6.06
Molecule 31,ONNCC1CC2[C@H]([C@@H]1C1=CC(=C=COCC)N=CC=C1)O[C@H](N2c1ccccc1O)COc1ccccc1,C30H34N4O5,530.61,39,12,0.33,10,8,4,154.99,107.81,4.57,2.80,3.33,2.25,1.97,2.98,-4.46,1.83e-02,3.46e-05,Moderately soluble,-4.72,1.01e-02,1.90e-05,Moderately soluble,-5.16,3.70e-03,6.98e-06,Moderately soluble,High,No,Yes,No,No,Yes,No,Yes,-7.55,1,3,0,0,0,0.55,0,2,2,6.25
Molecule 32,CN=C1N2CCC(=NN)/N=C/CCC(=O)/N=C/[C@@H]3[C@H](CO/N=C\2/[C@@H]2[C@H]1CCNC2)SCC3,C21H32N8O2S,460.60,32,0,0.71,0,8,2,148.12,154.69,2.45,-1.49,-0.77,2.05,2.10,0.87,-1.76,8.06e+00,1.75e-02,Very soluble,-1.25,2.57e+01,5.58e-02,Very soluble,-3.26,2.53e-01,5.50e-04,Soluble,Low,No,Yes,No,No,No,No,No,-10.17,0,2,1,1,1,0.55,0,2,1,6.35
Molecule 33,COCC[C@@H]1C[C@H]([C@@H]2N1C(=N[C@@H]2C)OC1=C(C)N(NC1)CCCN(C)C)O,C19H35N5O3,381.51,27,0,0.84,9,6,2,120.21,72.80,3.74,0.44,-0.92,0.66,0.48,0.88,-1.89,4.93e+00,1.29e-02,Very soluble,-1.54,1.11e+01,2.91e-02,Very soluble,-2.32,1.84e+00,4.83e-03,Soluble,High,No,Yes,No,No,No,No,No,-8.31,0,1,0,0,0,0.55,0,0,2,5.69
Molecule 34,OC[C@H]1O[C@H](COC2=CCC=CC2N1)C[C@H]1[C@@H]2C[C@H]([C@H](N2C2=C1CC=C(C2=CO)OC)CC(=O)O)C,C27H36N2O7,500.58,36,0,0.59,6,8,4,140.25,120.72,3.44,-0.94,1.96,0.43,0.56,1.09,-1.96,5.55e+00,1.11e-02,Very soluble,-1.11,3.88e+01,7.75e-02,Very soluble,-1.49,1.62e+01,3.24e-02,Soluble,High,No,No,No,No,No,No,No,-10.02,1,3,0,0,0,0.55,0,2,1,6.50
Molecule 35,CO[P@@](=O)([C@@H](C[C@@H]1CCC2=CCCC[C@@H]2N(C1)[C@@H]1CCOC(=O)CN1CC[C@@H]1OC2C[C@@H](C[C@@H]2N2[C@@H](C1)CC(=O)O2)C)C)O,C32H52N3O8P,637.74,44,0,0.88,8,11,1,177.78,127.89,4.31,1.09,3.10,2.87,0.98,2.47,-3.95,7.11e-02,1.12e-04,Soluble,-3.37,2.73e-01,4.29e-04,Soluble,-2.98,6.63e-01,1.04e-03,Soluble,High,No,Yes,No,No,No,No,Yes,-9.42,2,3,0,0,2,0.17,0,2,2,7.51
Molecule 36,OOCCC(CC[C@H](CCCC[C@@H]([C@@H](ON(O)C)N[C@H](CO)O)O)NF)N,C15H35FN4O7,402.46,27,0,1.00,18,12,8,93.43,172.93,2.33,-1.60,-0.36,-1.43,-1.75,-0.56,-0.14,2.92e+02,7.26e-01,Very soluble,-1.52,1.21e+01,3.00e-02,Very soluble,-0.04,3.67e+02,9.12e-01,Soluble,Low,No,Yes,No,No,No,No,No,-9.89,2,0,2,1,4,0.17,0,4,2,5.40
Molecule 37,OC[C@@H]([C@@H](C[C@H]1CC(=C2[C@H]1CN(C2)C(=O)CN[C@H]1CC=CC(=C1)C(=O)O)C(=O)N)N)N,C21H31N5O5,433.50,31,0,0.57,10,8,6,116.37,185.00,2.07,-5.35,-2.17,-1.19,-1.39,-1.61,1.50,1.38e+04,3.18e+01,Highly soluble,2.12,5.66e+04,1.30e+02,Highly soluble,-0.26,2.39e+02,5.51e-01,Soluble,Low,No,No,No,No,No,No,No,-12.74,1,1,1,1,3,0.55,0,0,2,5.62
Molecule 38,FCCOC1=CCC(=C([C@@H]1NNC(=O)CNCC)O)CC[C@@H]1CCC[C@H]1CCCCC(=O)N,C24H41FN4O4,468.61,33,0,0.75,17,7,5,126.53,125.71,3.28,3.84,3.33,1.27,2.93,2.93,-4.04,4.25e-02,9.07e-05,Moderately soluble,-6.18,3.13e-04,6.67e-07,Poorly soluble,-5.39,1.89e-03,4.03e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.43,0,1,1,0,1,0.55,0,0,3,5.59
Molecule 39,OCC1=C=C(C)NC2=C=C(CCC[C@@H]3[C@H]2N(C1=O)CC3)N[C@H]1C[C@H](C=C(C1)[C@@H]1[C@@H](C)CC[C@H]1NNC(=O)C[C@@H](O)C)C(=O)O,C33H47N5O6,609.76,44,0,0.67,10,7,7,172.59,163.26,3.38,-1.67,1.20,1.11,1.11,1.03,-1.91,7.53e+00,1.23e-02,Very soluble,-1.25,3.46e+01,5.67e-02,Very soluble,-4.17,4.11e-02,6.75e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-11.21,3,3,1,1,3,0.11,0,1,2,7.30
Molecule 40,OCNC1=C2CC[C@@H](C2=C2[C@@H]([C@@H]1C=CCN1C(C)C(=CC3=C1SC(C3)OC)O)CC=C(CC2)N)[C@@H](N)C,C29H42N4O3S,526.73,37,0,0.59,7,4,5,154.54,142.30,3.69,1.53,3.75,1.57,1.92,2.49,-3.61,1.30e-01,2.47e-04,Soluble,-4.13,3.93e-02,7.46e-05,Moderately soluble,-3.24,3.06e-01,5.81e-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.43,1,3,1,1,0,0.55,0,2,1,6.91
Molecule 41,CCOCN(C(=N)CCN1[C@H](C)C(=O)[C@@H]2[C@@H]1[C@H]1CCC(=N[C@@H]3N1[C@H]([C@H]2O)C[C@H]3CC(C)C)OCN)CC(=O)NN1CCCC1,C31H54N8O5,618.81,44,0,0.87,15,11,4,183.73,160.05,3.73,0.77,-0.56,0.77,0.20,0.98,-3.17,4.17e-01,6.73e-04,Soluble,-3.71,1.20e-01,1.94e-04,Soluble,-2.76,1.09e+00,1.75e-03,Soluble,Low,No,No,No,No,No,No,Yes,-9.53,2,4,2,1,3,0.17,0,3,2,7.52
Molecule 42,OCC[C@@H]1S[C@@H]([C@@H]([C@H]1C1=Nc2c([C@H](C1)ON)c(CC)ccc2)O)C([C@@H](O)C)O,C20H30N2O5S,410.53,28,6,0.65,7,7,5,113.59,153.83,2.81,0.38,0.54,0.54,1.93,1.24,-2.32,1.96e+00,4.77e-03,Soluble,-3.18,2.74e-01,6.67e-04,Soluble,-2.41,1.60e+00,3.91e-03,Soluble,Low,No,Yes,No,No,No,No,No,-8.53,0,0,1,1,1,0.55,0,1,1,5.50
Molecule 43,COC1=C(C)N[C@@H](C1)C=C1CC2N(C1)C/C(=N/Cc1cc([C@@H](OC2)C)cc(c1O)O)/N=C(N)N,C24H34N6O4,470.56,34,6,0.50,3,7,5,141.85,150.95,3.14,0.10,-0.02,0.31,1.19,0.94,-2.75,8.31e-01,1.77e-03,Soluble,-2.82,7.04e-01,1.50e-03,Soluble,-3.46,1.65e-01,3.50e-04,Soluble,Low,No,Yes,No,No,No,No,No,-9.10,0,1,1,1,1,0.55,2,4,1,6.88
Molecule 44,CO[C@@H](CN(NC(=O)NC1=C[C@H](CN)C=C(C1O)O)CC)CO,C14H26N4O5,330.38,23,0,0.64,10,7,6,83.13,140.31,1.43,-2.17,-1.19,-1.43,-2.31,-1.13,0.14,4.55e+02,1.38e+00,Highly soluble,-0.25,1.88e+02,5.68e-01,Very soluble,-0.05,2.95e+02,8.93e-01,Soluble,Low,No,Yes,No,No,No,No,No,-9.86,1,1,1,1,2,0.55,0,0,1,5.03
Molecule 45,CCC(=O)C[C@H]([C@@H]([C@@H]1C(=CCC2=NC(=O)C=C(C2O)C(=O)O)C[C@H]([C@H]1N)C)F)C,C21H29FN2O5,408.46,29,0,0.62,8,8,3,110.99,130.05,2.46,-1.36,2.02,1.25,3.15,1.50,-0.99,4.20e+01,1.03e-01,Very soluble,-0.87,5.50e+01,1.35e-01,Very soluble,-2.49,1.31e+00,3.21e-03,Soluble,High,No,No,No,No,No,No,No,-9.76,0,0,0,0,0,0.55,0,1,2,5.77
Molecule 46,OO/C/1=C\C(=C=C(C)[C@H](CCN2[C@@H](C1)C[C@H](N2)C1CCCC1)C)CC(=O)O,C21H32N2O4,376.49,27,0,0.71,4,6,3,112.43,82.03,3.17,0.20,3.11,2.92,1.46,2.17,-2.04,3.46e+00,9.20e-03,Soluble,-1.48,1.24e+01,3.30e-02,Very soluble,-2.43,1.40e+00,3.71e-03,Soluble,High,No,Yes,No,No,No,No,No,-8.45,0,0,0,0,0,0.56,0,1,1,6.08
Molecule 47,CNC(=NC(=O)OCc1cc(ccc1O)[C@@H]([C@H](C(=O)N)CC(=O)O)O)[C@@H](C(C)(C)C)O,C20H29N3O8,439.46,31,6,0.50,12,9,6,110.98,191.77,2.03,0.33,0.19,0.02,0.93,0.70,-2.12,3.30e+00,7.52e-03,Soluble,-3.92,5.27e-02,1.20e-04,Soluble,-1.91,5.42e+00,1.23e-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.75,2,0,2,1,2,0.17,0,2,2,4.74
Molecule 48,CCNCO[C@@H]([C@@H]1CC2=C(OO)CC(=N[C@H]3CCCCC3N(CO)C)[C@@H]2C1)CO,C21H37N3O5,411.54,29,0,0.86,10,8,4,111.69,106.78,3.65,0.04,1.74,0.71,1.33,1.49,-1.76,7.21e+00,1.75e-02,Very soluble,-1.84,6.02e+00,1.46e-02,Very soluble,-2.35,1.86e+00,4.52e-03,Soluble,High,No,Yes,No,No,No,No,No,-8.78,0,0,0,0,0,0.55,0,3,2,5.93
Molecule 49,CCCCCCN(CCC1CC[C@@H]1CC=COCC(C)C)CN,C20H40N2O,324.54,23,0,0.90,14,3,1,102.35,38.49,4.40,5.54,4.78,3.46,4.52,4.54,-4.42,1.24e-02,3.82e-05,Moderately soluble,-6.11,2.53e-04,7.79e-07,Poorly soluble,-4.57,8.74e-03,2.69e-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-4.35,0,0,1,0,1,0.55,0,2,2,4.06
