Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 14,OC1=CC(=CC(C(=C1)C)O)C(=C=C1C=CC=CC1NC(=O)N(C)C)O,C19H22N2O4,342.39,25,0,0.26,4,4,4,95.67,93.03,2.63,0.16,2.41,0.93,-0.32,1.16,-1.8,5.43E+00,1.59E-02,Very soluble,-1.67,7.31E+00,2.13E-02,Very soluble,-0.16,2.37E+02,6.92E-01,Soluble,High,No,No,No,No,No,No,No,-8.27,0,0,0,0,0,0.55,0,1,0,5.04
Molecule 15,CC1=C2C(CC3=CC=CC4[C@@H]3[C@H]1CC4)C(OCCc1ccccc1)C=CC=C2C(C)C,C30H36O,412.61,31,6,0.47,5,1,0,132.23,9.23,4.55,6.3,7.24,6.3,5.9,6.06,-6.18,2.72E-04,6.60E-07,Poorly soluble,-6.28,2.15E-04,5.22E-07,Poorly soluble,-6.45,1.48E-04,3.59E-07,Poorly soluble,Low,No,No,No,No,Yes,No,Yes,-4.34,1,2,0,1,2,0.55,0,0,2,5.89
Molecule 16,CCN1[C@@H]2CO[C@H]3CCCC3=C=C3N(c4c(C1=CCC[C@@H]2CCC(C)C)cc(C)cc4)NN[C@@H]3C,C30H44N4O,476.7,35,6,0.63,4,3,2,161.08,39.77,5.11,5.65,4.56,4.87,4.03,4.84,-6.22,2.89E-04,6.06E-07,Poorly soluble,-6.25,2.68E-04,5.63E-07,Poorly soluble,-6.9,6.03E-05,1.26E-07,Poorly soluble,High,Yes,Yes,No,No,No,No,Yes,-5.2,1,2,0,0,1,0.55,0,0,2,7.26
Molecule 17,CCC[C@@H](N[C@H](C[C@H](C(=CC)CCc1ccccc1)C)F)C,C20H32FN,305.47,22,6,0.6,10,2,1,96.28,12.03,4.21,6.49,6.09,5.07,5.94,5.56,-5.36,1.32E-03,4.32E-06,Moderately soluble,-6.54,8.84E-05,2.89E-07,Poorly soluble,-6.52,9.16E-05,3.00E-07,Poorly soluble,Low,No,Yes,No,No,No,Yes,Yes,-3.56,1,1,0,1,2,0.55,0,2,2,3.89
Molecule 18,C[C@@H]1N[C@H]2OC(O[C@@H]2N2[C@H]3C(=CC=CC3)[C@H]([C@@H](C1)C(=O)O)NN=C1C2=N[C@@H](C1)F)(C)C,C21H28FN5O4,433.48,31,0,0.67,1,8,3,129.84,107.78,2.65,-1.33,0,1.8,0.26,0.68,-1.62,1.03E+01,2.38E-02,Very soluble,-0.43,1.59E+02,3.68E-01,Very soluble,-1.94,4.98E+00,1.15E-02,Soluble,High,No,Yes,No,No,No,No,No,-9.89,0,0,0,0,0,0.55,0,1,1,6.66
Molecule 19,OCCC[C@H]([C@@H](NC(=N)C)C)[C@H](CN1NNCC1)CC,C14H31N5O,285.43,20,0,0.93,10,5,5,95.1,83.41,2.4,0.84,-0.44,1.55,1.06,1.08,-1.48,9.48E+00,3.32E-02,Very soluble,-2.17,1.91E+00,6.69E-03,Soluble,-2.77,4.87E-01,1.71E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.44,0,1,0,0,0,0.55,0,2,1,4.1
Molecule 20,CCCCC[C@@H]1C=C(O)[C@H]2C3=C1CCC[C@@H]3CCC2,C18H28O,260.41,19,0,0.78,4,1,1,82.92,20.23,3.57,5.31,5.54,4.29,4.32,4.61,-4.54,7.58E-03,2.91E-05,Moderately soluble,-5.49,8.50E-04,3.26E-06,Moderately soluble,-3.95,2.92E-02,1.12E-04,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.12,1,0,0,0,2,0.55,0,1,1,4.64
Molecule 21,CCC[C@H]1O[C@@H]2[C@@H]([C@H](C1=O)N(CC1C=CCC=C1)C)CCCc1c(N2C)cc(Cl)cc1,C26H35ClN2O2,443.02,31,6,0.58,5,3,0,132.17,32.78,4.79,6.62,4.87,4.16,3.84,4.86,-6.57,1.19E-04,2.69E-07,Poorly soluble,-7.11,3.45E-05,7.78E-08,Poorly soluble,-5.37,1.89E-03,4.27E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-4.3,1,1,0,0,1,0.55,0,1,2,5.24
Molecule 22,CC(CCN[C@H](C1=C(C=CCC=C1)Oc1ccccc1)C=NCCNc1ccccc1)C,C28H35N3O,429.6,32,12,0.32,12,3,2,136.82,45.65,4.8,6.04,5.83,3.64,5.72,5.21,-5.79,6.90E-04,1.61E-06,Moderately soluble,-6.78,7.17E-05,1.67E-07,Poorly soluble,-8.22,2.61E-06,6.07E-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-4.63,0,2,1,0,1,0.55,0,1,3,5.13
Molecule 23,NCC1COC(=N1)Nc1ccc(nc1)C,C10H14N4O,206.24,15,6,0.4,3,4,2,61.62,72.53,1.82,-0.39,-0.06,0.01,1.27,0.53,-0.97,2.20E+01,1.07E-01,Very soluble,-0.67,4.41E+01,2.14E-01,Very soluble,-2.89,2.66E-01,1.29E-03,Soluble,High,No,No,No,No,No,No,No,-7.83,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 24,COc1c[nH]c(=N)c(c1)N=C(C1C=CCC=C1N)C,C14H18N4O,258.32,19,6,0.29,3,3,3,76.31,87.25,2.36,0.71,2.01,0.73,2.34,1.63,-1.92,3.07E+00,1.19E-02,Very soluble,-2.12,1.96E+00,7.58E-03,Soluble,-3.05,2.31E-01,8.93E-04,Soluble,High,No,No,No,No,No,No,No,-7.37,0,0,0,0,0,0.55,0,2,0,4.01
Molecule 25,CC1C=CC2[C@H](C=C1C)O[C@@H]1[C@H](C2)C[C@H](C1)Oc1ccccc1,C21H26O2,310.43,23,6,0.52,2,2,0,94.03,18.46,3.85,4.6,4.77,4.04,3.36,4.12,-4.72,5.86E-03,1.89E-05,Moderately soluble,-4.71,6.02E-03,1.94E-05,Moderately soluble,-4.14,2.24E-02,7.21E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-4.93,0,0,0,0,0,0.55,0,1,1,4.99
Molecule 26,CC[C@H](C1=C(O[C@@H](C1)C)C1C=NC2C(=C1)CCCC2=N)O,C17H24N2O2,288.38,21,0,0.65,3,4,2,89.39,65.67,2.92,0.75,2.64,1.21,3.42,2.19,-1.9,3.61E+00,1.25E-02,Very soluble,-1.71,5.64E+00,1.96E-02,Very soluble,-2.75,5.12E-01,1.77E-03,Soluble,High,Yes,Yes,No,No,No,No,No,-7.53,0,0,0,0,0,0.55,0,2,0,5.13
Molecule 27,CC1=CC(C)C=CC(=C1)CCN1CCCC1,C15H23N,217.35,16,0,0.6,3,1,0,75.38,3.24,3.44,3.24,3.17,3.46,3.07,3.28,-3.03,2.02E-01,9.32E-04,Soluble,-2.98,2.27E-01,1.04E-03,Soluble,-2.67,4.69E-01,2.16E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.33,0,0,0,0,1,0.55,0,0,1,4.04
Molecule 28,CCOC1CCNCCCC[C@@H]2C=C(CCCC/C(=C\1)/CC)C=CC2,C23H39NO,345.56,25,0,0.74,3,2,1,114.83,21.26,4.34,5.33,5.57,4.38,4.46,4.82,-5.14,2.49E-03,7.20E-06,Moderately soluble,-5.53,1.02E-03,2.96E-06,Moderately soluble,-5.08,2.87E-03,8.32E-06,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-4.62,1,0,0,0,1,0.55,0,1,1,6.09
Molecule 29,ON1C(=NC2CCCC2)C[C@@]2(C3=C1CC[C@@H]3[C@H]1C(C2=O)C(=C(C=C1)C)C)O,C22H28N2O3,368.47,27,0,0.64,1,4,2,108.5,73.13,3.19,0.72,3.16,3.05,2.6,2.54,-2.51,1.13E+00,3.08E-03,Soluble,-1.83,5.40E+00,1.47E-02,Very soluble,-2.79,5.91E-01,1.60E-03,Soluble,High,Yes,Yes,No,No,No,No,No,-8.04,0,0,0,0,0,0.55,0,1,1,5.59
Molecule 30,OC[C@H]([C@H](c1ccc(cc1)O)CC(c1ccc(cc1)O)(C)C)CC[C@H](O)C,C23H32O4,372.5,27,12,0.48,9,4,4,110.22,80.92,2.92,4.67,4.32,3.32,4.7,3.99,-4.83,5.55E-03,1.49E-05,Moderately soluble,-6.1,2.98E-04,8.01E-07,Poorly soluble,-5.53,1.09E-03,2.93E-06,Moderately soluble,High,No,Yes,Yes,No,No,Yes,Yes,-5.26,0,0,0,0,0,0.55,0,0,3,3.49
Molecule 31,OCc1c(C)cccc1[C@@](C(=O)O)(N=C1CC=CC=C1)O,C16H17NO4,287.31,21,6,0.25,4,5,3,79.59,90.12,2.26,1.32,1.41,1.78,2.15,1.78,-2.4,1.14E+00,3.98E-03,Soluble,-2.81,4.41E-01,1.54E-03,Soluble,-2.22,1.73E+00,6.01E-03,Soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.56,0,1,0,4.04
Molecule 32,OCCC1=CCC2=C(C=C1)[C@@H](CO)[C@@H](C1CCC(C1)F)N1[C@H]([C@@H]2O)CCC[C@@H]1C,C24H36FNO3,405.55,29,0,0.75,4,5,3,117.95,63.93,3.49,2.15,3.32,2.97,2.41,2.87,-3.44,1.46E-01,3.59E-04,Soluble,-3.12,3.04E-01,7.50E-04,Soluble,-2.48,1.34E+00,3.30E-03,Soluble,High,Yes,Yes,No,No,No,No,No,-7.25,0,0,0,0,0,0.55,0,0,1,6.04
Molecule 33,CCC[C@@H]1CC[C@H]2C(=N1)[C@H]1OC[C@H]1NN(C1C=CCC=C1)C(=O)NCC[C@@](N2)(O)c1ccccc1,C27H37N5O3,479.61,35,6,0.56,4,6,4,154.83,98.22,3.76,2.62,0.75,2.61,1.53,2.25,-4.33,2.26E-02,4.71E-05,Moderately soluble,-4.33,2.23E-02,4.65E-05,Moderately soluble,-4.91,5.89E-03,1.23E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-7.37,0,2,0,0,0,0.55,0,1,1,6.43
Molecule 34,COC(=O)NCCC=C1C[C@@H](C(N1)F)C[C@H]([C@@H]1Cc2ccccc2C2=NC3=CCC(=C[C@H]3N12)F)C,C27H32F2N4O2,482.57,35,6,0.48,8,5,2,142.95,65.96,4.13,4.67,4.44,3.91,4.24,4.28,-5.37,2.05E-03,4.24E-06,Moderately soluble,-5.78,7.96E-04,1.65E-06,Moderately soluble,-6.21,3.01E-04,6.24E-07,Poorly soluble,High,Yes,Yes,No,No,Yes,No,Yes,-5.93,0,2,0,0,0,0.55,0,1,3,5.89
Molecule 35,OC[C@@H](c1ccc(cc1)C)O[C@@H](c1cnccc1C)C,C17H21NO2,271.35,20,12,0.35,5,3,1,80.29,42.35,2.62,2.48,2.86,1.89,3.99,2.77,-3.2,1.72E-01,6.33E-04,Soluble,-3.01,2.63E-01,9.68E-04,Soluble,-5.37,1.15E-03,4.26E-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.19,0,0,0,0,0,0.55,0,0,0,3.16
Molecule 36,CCOC1=CC(=N[C@H]2CC[C@H](OC2)C)CC=C1C(=O)CC,C17H25NO3,291.39,21,0,0.65,5,4,0,84.71,47.89,3.5,1.88,3.22,1.21,3.76,2.71,-2.5,9.19E-01,3.16E-03,Soluble,-2.51,9.05E-01,3.11E-03,Soluble,-3.4,1.15E-01,3.94E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.74,0,0,0,0,0,0.55,0,1,0,5.08
Molecule 37,CNC(=O)N=C1N=CC=CC1CC(C)C,C11H17N3O,207.27,15,0,0.55,4,3,1,66.49,53.82,2.22,1.4,1.65,1.67,2.09,1.81,-1.74,3.75E+00,1.81E-02,Very soluble,-2.13,1.52E+00,7.34E-03,Soluble,-2.04,1.89E+00,9.14E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.57,0,0,0,0,0,0.55,0,1,1,4.25
Molecule 38,CC(C[C@@H](CCCC(=O)C)O)C,C10H20O2,172.26,12,0,0.9,6,2,1,51.55,37.3,2.43,1.67,2.15,1.77,2.29,2.06,-1.56,4.70E+00,2.73E-02,Very soluble,-2.07,1.47E+00,8.56E-03,Soluble,-2.13,1.29E+00,7.46E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.17,0,0,0,0,1,0.55,0,0,1,2.18
Molecule 39,NC[C@H]([C@H](CNc1ccc(c2c1nccc2)O)O)O,C13H17N3O3,263.29,19,10,0.31,5,5,5,72.52,111.63,1.34,0.13,-0.16,-0.77,0.26,0.16,-1.61,6.41E+00,2.43E-02,Very soluble,-2.03,2.46E+00,9.33E-03,Soluble,-2.58,6.96E-01,2.64E-03,Soluble,High,No,No,No,No,No,No,No,-7.81,0,0,0,0,0,0.55,0,1,0,2.86
Molecule 40,OCCN1[C@@H]2C[C@H]3CCO[C@@H]3[C@@H](C[C@H]2[C@@H](C1=O)O)C1CCCCCC1,C20H33NO4,351.48,25,0,0.95,3,4,2,100.22,70,2.67,2.85,1.57,1.78,1.67,2.11,-3.62,8.50E-02,2.42E-04,Soluble,-3.98,3.69E-02,1.05E-04,Soluble,-1.84,5.02E+00,1.43E-02,Soluble,High,Yes,Yes,No,No,No,No,No,-6.42,0,0,0,0,0,0.55,0,0,1,4.42
Molecule 41,NCC[C@H](C=C=CC(=CCC1=C(CCN1)N[C@H](CC)C)OC)C,C19H33N3O,319.48,23,0,0.63,10,2,3,101.93,59.31,3.89,2.8,2.82,1.68,3.58,2.95,-2.92,3.80E-01,1.19E-03,Soluble,-3.7,6.34E-02,1.98E-04,Soluble,-3.91,3.93E-02,1.23E-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.26,0,0,0,0,0,0.55,0,2,1,5.4
Molecule 42,OCc1c(O)cccc1[C@H](c1cccc(c1)OO)O,C14H14O5,262.26,19,12,0.14,4,5,4,68.46,90.15,1.81,1.52,1.34,1.2,1.49,1.47,-2.63,6.19E-01,2.36E-03,Soluble,-3.02,2.50E-01,9.51E-04,Soluble,-2.81,4.05E-01,1.55E-03,Soluble,High,No,No,No,No,No,No,No,-6.82,0,0,0,0,0,0.55,0,1,0,3.06
Molecule 43,C[C@@H]1OCCC([C@@H]1C(=O)[C@H]1C=CC=CC2=C1NC1=C(C=C2O)C=NCC=C1)ON1CCCC1,C26H31N3O4,449.54,33,0,0.46,4,6,2,138.16,83.39,3.11,2.25,2.17,1.23,1.65,2.08,-3.78,7.45E-02,1.66E-04,Soluble,-3.64,1.04E-01,2.31E-04,Soluble,-2.23,2.67E+00,5.94E-03,Soluble,High,No,No,No,No,Yes,No,No,-7.44,0,1,0,0,0,0.55,0,0,1,6.15
Molecule 44,CCCC1=N[C@@H]2C(=S)N[C@H]3C2=CC([C@H]1OC1C=CCC=C1)CC(=O)NOCC=C=C3,C23H27N3O3S,425.54,30,0,0.48,4,4,2,131.63,104.04,2.89,1.46,1.74,1.81,3.25,2.23,-3.13,3.12E-01,7.34E-04,Soluble,-3.25,2.39E-01,5.61E-04,Soluble,-3.3,2.12E-01,4.99E-04,Soluble,High,No,Yes,No,No,Yes,No,No,-7.86,0,1,0,0,0,0.55,0,2,1,6.7
Molecule 45,CC[C@@H]1COCC2=C1C[C@@H](N=C2)C1=CCC=CC1[S@](=O)C,C17H23NO2S,305.44,21,0,0.59,3,3,0,92.44,57.87,2.89,0.46,3.3,1.97,2.61,2.25,-1.83,4.56E+00,1.49E-02,Very soluble,-1.24,1.74E+01,5.70E-02,Very soluble,-3.06,2.63E-01,8.61E-04,Soluble,High,Yes,No,No,No,No,No,No,-7.84,0,0,0,0,0,0.55,0,1,0,5.14
Molecule 46,OC1CCC(C1)CCc1ccccc1Cl,C13H17ClO,224.73,15,6,0.54,3,1,1,64.31,20.23,2.91,3.84,3.43,3.48,3.8,3.49,-3.75,3.99E-02,1.78E-04,Soluble,-3.96,2.46E-02,1.09E-04,Soluble,-4.18,1.48E-02,6.58E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-4.94,0,0,0,0,1,0.55,0,0,2,2.53
Molecule 47,O=C(N[C@](c1ccccc1)(CNc1ccccc1O)O)Nc1ccccc1,C21H21N3O3,363.41,27,18,0.1,8,3,5,105.13,93.62,3.05,3.57,2.98,3.1,1.83,2.91,-4.31,1.79E-02,4.93E-05,Moderately soluble,-5.22,2.18E-03,6.00E-06,Moderately soluble,-6.79,5.89E-05,1.62E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-5.98,0,0,0,0,0,0.55,0,2,3,3.07
Molecule 48,CC[C@H](C1C=C2C(=C[C@@H]1C(C)C)[C@@H](N(C2=O)CC)C)C,C18H29NO,275.43,20,0,0.72,4,1,0,90.48,20.31,3.67,4.03,3.66,3.67,3.51,3.71,-3.82,4.14E-02,1.50E-04,Soluble,-4.16,1.91E-02,6.92E-05,Moderately soluble,-3.36,1.19E-01,4.34E-04,Soluble,High,Yes,No,No,Yes,Yes,No,No,-5.12,0,0,0,0,0,0.55,0,0,1,4.99
Molecule 49,OCCC[C@@]([C@H]([C@@H]([C@H]1C[C@]23C[C@@H]1CC[C@@H]3CC2)C)C)(O)C,C19H34O2,294.47,21,0,1,6,2,2,89.21,40.46,3.64,4.87,4,3.85,4.13,4.1,-4.34,1.35E-02,4.59E-05,Moderately soluble,-5.45,1.03E-03,3.51E-06,Moderately soluble,-3.31,1.45E-01,4.91E-04,Soluble,High,Yes,No,No,No,Yes,Yes,No,-4.64,0,0,0,0,0,0.55,0,0,1,5.59
Molecule 50,CNC(=O)[C@H]1C=C(C[C@H]([C@@H]1C)[C@H]([C@@H](O)C)O)C(O)(C)C,C15H27NO4,285.38,20,0,0.8,5,4,4,78.16,89.79,2.14,-0.19,0.44,0.48,0.8,0.73,-1.16,1.98E+01,6.92E-02,Very soluble,-1.24,1.64E+01,5.76E-02,Very soluble,-0.96,3.13E+01,1.10E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.18,0,0,0,0,0,0.55,0,1,0,4.59
Molecule 51,CCOC(=O)c1ccc(c(c1)C)NC(=O)CC(C)(C)C,C16H23NO3,277.36,20,6,0.5,7,3,1,80.78,55.4,3.29,3.34,3.36,3.02,3.46,3.29,-3.42,1.05E-01,3.77E-04,Soluble,-4.18,1.83E-02,6.60E-05,Moderately soluble,-4.88,3.66E-03,1.32E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.62,0,0,0,0,0,0.55,0,0,0,2.14
Molecule 52,CC[C@@H]1C(=O)N=C2N1CCCCCCC1=C(CC(=N1)N([C@@H]2C)c1ccncc1)C,C23H31N5O,393.53,29,6,0.57,2,4,0,132.51,61.16,3.31,2.48,2.81,3.37,3.77,3.15,-3.86,5.39E-02,1.37E-04,Soluble,-3.41,1.53E-01,3.90E-04,Soluble,-5.54,1.13E-03,2.88E-06,Moderately soluble,High,Yes,Yes,No,Yes,Yes,No,Yes,-6.94,0,1,0,0,0,0.55,0,0,1,6.48
Molecule 53,OC[C@H]([C@H]([C@@H](CCc1ccc(c(c1)Cl)C)O)C)O,C14H21ClO3,272.77,18,6,0.57,6,3,3,73.71,60.69,2.5,2.41,1.93,2.32,3.29,2.49,-2.9,3.43E-01,1.26E-03,Soluble,-3.33,1.29E-01,4.71E-04,Soluble,-3.42,1.03E-01,3.78E-04,Soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.25,0,0,0,0,0,0.55,0,0,0,3.09
