"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","nucleosome","GO:0000786","true","0.0000020097928866013955","5.696848695236556","9","73","6","2712","PF3D7_1105000,PF3D7_0610400,PF3D7_0617800,PF3D7_0617900,PF3D7_1105100,PF3D7_0320900"
"GO:CC","symbiont-containing vacuole","GO:0020003","true","0.0007458881761352702","3.1273262772560435","54","73","9","2712","PF3D7_0207600,PF3D7_1228600,PF3D7_0102200,PF3D7_1035200,PF3D7_1252100,PF3D7_1116800,PF3D7_0707300,PF3D7_1436300,PF3D7_0406200"
"GO:CC","extracellular membrane-bounded organelle","GO:0065010","false","0.0007458881761352702","3.1273262772560435","54","73","9","2712","PF3D7_0207600,PF3D7_1228600,PF3D7_0102200,PF3D7_1035200,PF3D7_1252100,PF3D7_1116800,PF3D7_0707300,PF3D7_1436300,PF3D7_0406200"
"GO:CC","extracellular organelle","GO:0043230","false","0.0008727378429000979","3.059116192124985","55","73","9","2712","PF3D7_0207600,PF3D7_1228600,PF3D7_0102200,PF3D7_1035200,PF3D7_1252100,PF3D7_1116800,PF3D7_0707300,PF3D7_1436300,PF3D7_0406200"
"GO:CC","microneme","GO:0020009","false","0.0010039804804033968","2.998274730752256","21","73","6","2712","PF3D7_0323400,PF3D7_1136900,PF3D7_0731500,PF3D7_1301600,PF3D7_0828800,PF3D7_0102500"
"GO:CC","extracellular region","GO:0005576","false","0.001239036562917048","2.906915877773392","72","73","10","2712","PF3D7_0207600,PF3D7_1228600,PF3D7_0102200,PF3D7_1035200,PF3D7_1252100,PF3D7_1116800,PF3D7_0707300,PF3D7_1436300,PF3D7_0406200,PF3D7_0404700"
"GO:CC","cell periphery","GO:0071944","true","0.0025540039453466504","2.5927784361873427","78","73","10","2712","PF3D7_0217500,PF3D7_1035400,PF3D7_1342600,PF3D7_0206800,PF3D7_1335300,PF3D7_1335400,PF3D7_1301600,PF3D7_0828800,PF3D7_0708400,PF3D7_0729900"
"GO:CC","rhoptry neck","GO:1990225","false","0.0025700855650276555","2.590052417602261","8","73","4","2712","PF3D7_0214900,PF3D7_0722200,PF3D7_1452000,PF3D7_1116000"
"GO:CC","chromatin","GO:0000785","false","0.004085518966203712","2.3887527690353205","38","73","7","2712","PF3D7_1105000,PF3D7_0610400,PF3D7_0617800,PF3D7_0617900,PF3D7_1105100,PF3D7_0320900,PF3D7_0216000"
"GO:CC","myosin complex","GO:0016459","true","0.029098151320441475","1.5361346019706137","6","73","3","2712","PF3D7_1342600,PF3D7_1229800,PF3D7_0613900"
"GO:CC","plasma membrane","GO:0005886","false","0.031140257009177403","1.5066778074003027","68","73","8","2712","PF3D7_0217500,PF3D7_1035400,PF3D7_1342600,PF3D7_0206800,PF3D7_1335300,PF3D7_1335400,PF3D7_1301600,PF3D7_0708400"
"GO:CC","protein-DNA complex","GO:0032993","false","0.045554339203716536","1.341470248713486","55","73","7","2712","PF3D7_1105000,PF3D7_0610400,PF3D7_0617800,PF3D7_0617900,PF3D7_1105100,PF3D7_0320900,PF3D7_0216000"
"KEGG","Malaria","KEGG:05144","false","0.0006138096104788251","3.2119663160585668","218","14","10","1089","PF3D7_0930300,PF3D7_1035400,PF3D7_0207000,PF3D7_1035500,PF3D7_0206800,PF3D7_1335300,PF3D7_1335400,PF3D7_0731500,PF3D7_1301600,PF3D7_0424200"
"REAC","RMTs methylate histone arginines","REAC:R-PFA-3214858","false","0.0029044713126869103","2.536932908670728","7","11","3","893","PF3D7_1105000,PF3D7_0617800,PF3D7_0320900"
